"Congress","State","Party","Full.Name","born","died","Member.x","sess_1.x","sess_2.x","age","Member.y","Reason","Category_1","Category_2"
110,"CA","D","Bob Filner",1942,NA,"Bob Filner",2007,2008,65,NA,NA,NA,NA
110,"CA","D","Jane L. Harman",1945,NA,"Jane Harman",2007,2008,62,NA,NA,NA,NA
110,"CA","D","Mike Honda",1941,NA,"Mike Honda",2007,2008,66,NA,NA,NA,NA
110,"CA","D","Thomas Peter Lantos",1928,2008,"Thomas Lantos",2007,2008,79,NA,NA,NA,NA
110,"CA","D","Barbara Lee",1946,NA,"Barbara Lee",2007,2008,61,NA,NA,NA,NA
110,"CA","D","Zoe Lofgren",1947,NA,"Zoe Lofgren",2007,2008,60,NA,NA,NA,NA
110,"CA","D","Doris Matsui",1944,NA,"Doris Matsui",2007,2008,63,NA,NA,NA,NA
110,"CA","D","Jerry Mcnerney",1951,NA,"Jerry Mcnerney",2007,2008,56,NA,NA,NA,NA
110,"CA","D","Juanita Millender-mcdonald",1938,2007,"Juanita Millender-mcdonald",2007,2008,69,NA,NA,NA,NA
110,"CA","D","George Miller",1945,NA,"George Miller",2007,2008,62,NA,NA,NA,NA
110,"CA","D","Grace Flores Napolitano",1936,NA,"Grace Napolitano",2007,2008,71,NA,NA,NA,NA
110,"CA","D","Nancy Pelosi",1940,NA,"Nancy Pelosi",2007,2008,67,NA,NA,NA,NA
110,"CA","D","Laura Richardson",1962,NA,"Laura Richardson",2007,2008,45,NA,NA,NA,NA
110,"CA","D","Lucille Roybal-allard",1941,NA,"Lucille Roybal-allard",2007,2008,66,NA,NA,NA,NA
110,"CA","D","Loretta Sanchez",1960,NA,"Loretta Sanchez",2007,2008,47,NA,NA,NA,NA
110,"CA","D","Linda T. Sánchez",1969,NA,"Linda Sánchez",2007,2008,38,NA,NA,NA,NA
110,"CA","D","Adam Schiff",1960,NA,"Adam Schiff",2007,2008,47,NA,NA,NA,NA
110,"CA","D","Brad Sherman",1954,NA,"Brad Sherman",2007,2008,53,NA,NA,NA,NA
110,"CA","D","Hilda L. Solis",1957,NA,"Hilda Solis",2007,2008,50,NA,NA,NA,NA
110,"CA","D","Karen Lorraine Jacqueline (Jackie) Speier",1950,NA,"Jackie Speier",2007,2008,57,NA,NA,NA,NA
110,"CA","D","Fortney Hillman (pete) Stark Jr.",1931,NA,"Pete Stark",2007,2008,76,NA,NA,NA,NA
110,"CA","D","Ellen O'Kane Tauscher",1951,NA,"Ellen Tauscher",2007,2008,56,NA,NA,NA,NA
110,"CA","D","Michael Thompson",1951,NA,"Michael Thompson",2007,2008,56,NA,NA,NA,NA
110,"CA","D","Maxine Waters",1938,NA,"Maxine Waters",2007,2008,69,NA,NA,NA,NA
110,"CA","D","Diane Edith Watson",1933,NA,"Diane Watson",2007,2008,74,NA,NA,NA,NA
110,"CA","D","Henry Arnold Waxman",1939,NA,"Henry Waxman",2007,2008,68,NA,NA,NA,NA
110,"CA","D","Lynn C. Woolsey",1937,NA,"Lynn Woolsey",2007,2008,70,NA,NA,NA,NA
110,"CA","R","Brian P. Bilbray",1951,NA,"Brian Bilbray",2007,2008,56,NA,NA,NA,NA
110,"CA","R","Mary Bono",1961,NA,"Mary Bono",2007,2008,46,NA,NA,NA,NA
110,"CA","R","Ken Calvert",1953,NA,"Ken Calvert",2007,2008,54,NA,NA,NA,NA
110,"CA","R","John (of California) Campbell",1955,NA,"O Campbell",2007,2008,52,NA,NA,NA,NA
110,"CA","R","John Taylor Doolittle",1950,NA,"John Doolittle",2007,2008,57,NA,NA,NA,NA
110,"CA","R","David Timothy Dreier",1952,NA,"David Dreier",2007,2008,55,NA,NA,NA,NA
110,"CA","R","Elton W. Gallegly",1944,NA,"Elton Gallegly",2007,2008,63,NA,NA,NA,NA
110,"CA","R","Walter William (Wally) Herger",1945,NA,"Wally Herger",2007,2008,62,NA,NA,NA,NA
110,"CA","R","Duncan Lee Hunter",1948,NA,"Duncan Hunter",2007,2008,59,NA,NA,NA,NA
110,"CA","R","Darrell Issa",1953,NA,"Darrell Issa",2007,2008,54,NA,NA,NA,NA
110,"CA","R","Charles Jeremy (Jerry) Lewis",1934,NA,"Jerry Lewis",2007,2008,73,NA,NA,NA,NA
110,"CA","R","Daniel Edward Lungren",1946,NA,"Daniel Lungren",2007,2008,61,NA,NA,NA,NA
110,"CA","R","Kevin Mccarthy",1965,NA,"Kevin Mccarthy",2007,2008,42,NA,NA,NA,NA
110,"CA","R","Howard P. (Buck) Mckeon",1938,NA,"Buck Mckeon",2007,2008,69,NA,NA,NA,NA
110,"CA","R","Gary G. Miller",1948,NA,"Gary Miller",2007,2008,59,NA,NA,NA,NA
110,"CA","R","Devin Nunes",1973,NA,"Devin Nunes",2007,2008,34,NA,NA,NA,NA
110,"CA","R","George P. Radanovich",1955,NA,"George Radanovich",2007,2008,52,NA,NA,NA,NA
110,"CA","R","Dana Rohrabacher",1947,NA,"Dana Rohrabacher",2007,2008,60,NA,NA,NA,NA
110,"CA","R","Edward Randall Royce",1951,NA,"Edward Royce",2007,2008,56,NA,NA,NA,NA
110,"CO","D","Diana Degette",1957,NA,"Diana Degette",2007,2008,50,NA,NA,NA,NA
110,"CO","D","Ed Perlmutter",1953,NA,"Ed Perlmutter",2007,2008,54,NA,NA,NA,NA
110,"CO","D","John Salazar",1953,NA,"John Salazar",2007,2008,54,NA,NA,NA,NA
110,"CO","D","Kenneth Lee Salazar",1955,NA,"Kenneth Salazar",2007,2008,52,NA,NA,NA,NA
110,"CO","D","Mark Udall",1950,NA,"Mark Udall",2007,2008,57,NA,NA,NA,NA
110,"CO","R","A. Wayne Allard",1943,NA,"A. Allard",2007,2008,64,NA,NA,NA,NA
110,"CO","R","Doug Lamborn",1954,NA,"Doug Lamborn",2007,2008,53,NA,NA,NA,NA
110,"CO","R","Marilyn N Musgrave",1949,NA,"Marilyn Musgrave",2007,2008,58,NA,NA,NA,NA
110,"CO","R","Thomas G. Tancredo",1945,NA,"Thomas Tancredo",2007,2008,62,NA,NA,NA,NA
110,"CT","D","Joe Courtney",1953,NA,"Joe Courtney",2007,2008,54,NA,NA,NA,NA
110,"CT","D","Rosa L. Delauro",1943,NA,"Rosa Delauro",2007,2008,64,NA,NA,NA,NA
110,"CT","D","Christopher John Dodd",1944,NA,"Christopher Dodd",2007,2008,63,NA,NA,NA,NA
110,"CT","D","John B. Larson",1948,NA,"John Larson",2007,2008,59,NA,NA,NA,NA
110,"CT","D","Joseph I. Lieberman",1942,NA,"Joseph Lieberman",2007,2008,65,NA,NA,NA,NA
110,"CT","D","Christopher Murphy",1973,NA,"Christopher Murphy",2007,2008,34,NA,NA,NA,NA
110,"CT","R","Christopher H. Shays",1945,NA,"Christopher Shays",2007,2008,62,NA,NA,NA,NA
110,"DE","D","Joseph Robinette Biden Jr.",1942,NA,"Joseph Biden",2007,2008,65,NA,NA,NA,NA
110,"DE","D","Thomas Richard Carper",1947,NA,"Thomas Carper",2007,2008,60,NA,NA,NA,NA
110,"DE","R","Michael Newbold Castle",1939,NA,"Michael Castle",2007,2008,68,NA,NA,NA,NA
110,"FL","D","F. Allen Boyd Jr.",1945,NA,"F. Boyd",2007,2008,62,NA,NA,NA,NA
110,"FL","D","Corrine Brown",1946,NA,"Corrine Brown",2007,2008,61,NA,NA,NA,NA
110,"FL","D","Kathy Castor",1966,NA,"Kathy Castor",2007,2008,41,NA,NA,NA,NA
110,"FL","D","Alcee Lamar Hastings",1936,NA,"Alcee Hastings",2007,2008,71,NA,NA,NA,NA
110,"FL","D","Ron Klein",1957,NA,"Ron Klein",2007,2008,50,NA,NA,NA,NA
110,"FL","D","Tim Mahoney",1956,NA,"Tim Mahoney",2007,2008,51,NA,NA,NA,NA
110,"FL","D","Kendrick B. Meek",1966,NA,"Kendrick Meek",2007,2008,41,NA,NA,NA,NA
110,"FL","D","Clarence William (Bill) Nelson",1942,NA,"Bill Nelson",2007,2008,65,NA,NA,NA,NA
110,"FL","D","Debbie Wasserman Schultz",1966,NA,"Debbie Wasserman Schultz",2007,2008,41,NA,NA,NA,NA
110,"FL","D","Robert Wexler",1961,NA,"Robert Wexler",2007,2008,46,NA,NA,NA,NA
110,"FL","R","Gus Bilirakis",1963,NA,"Gus Bilirakis",2007,2008,44,NA,NA,NA,NA
110,"FL","R","Virginia (Ginny) Brown-waite",1943,NA,"Ginny Brown-waite",2007,2008,64,NA,NA,NA,NA
110,"FL","R","Vernon G. Buchanan",1951,NA,"Vernon Buchanan",2007,2008,56,NA,NA,NA,NA
110,"FL","R","Ander Crenshaw",1944,NA,"Ander Crenshaw",2007,2008,63,NA,NA,NA,NA
110,"FL","R","Mario Diaz-balart",1961,NA,"Mario Diaz-balart",2007,2008,46,NA,NA,NA,NA
110,"FL","R","Lincoln Diaz-balart",1954,NA,"Lincoln Diaz-balart",2007,2008,53,NA,NA,NA,NA
110,"FL","R","Tom Feeney",1958,NA,"Tom Feeney",2007,2008,49,NA,NA,NA,NA
110,"FL","R","Richard (Ric) Keller",1964,NA,"Ric Keller",2007,2008,43,NA,NA,NA,NA
110,"FL","R","Connie Mack",1967,NA,"Connie Mack",2007,2008,40,NA,NA,NA,NA
110,"FL","R","Melquiades R. (Mel) Martinez",1946,NA,"Mel Martinez",2007,2008,61,NA,NA,NA,NA
110,"FL","R","John L. Mica",1943,NA,"John Mica",2007,2008,64,NA,NA,NA,NA
110,"FL","R","Jefferson B. (Jeff) Miller",1959,NA,"Jeff Miller",2007,2008,48,NA,NA,NA,NA
110,"FL","R","Adam Putnam",1974,NA,"Adam Putnam",2007,2008,33,NA,NA,NA,NA
110,"FL","R","Ileana Ros-lehtinen",1952,NA,"Ileana Ros-lehtinen",2007,2008,55,NA,NA,NA,NA
110,"FL","R","Clifford Bundy Stearns",1941,NA,"Clifford Stearns",2007,2008,66,NA,NA,NA,NA
110,"FL","R","David Joseph Weldon",1953,NA,"David Weldon",2007,2008,54,NA,NA,NA,NA
110,"FL","R","Charles William (Bill) Young",1930,2013,"Bill Young",2007,2008,77,NA,NA,NA,NA
110,"GA","D","John Barrow",1955,NA,"John Barrow",2007,2008,52,NA,NA,NA,NA
110,"GA","D","Sanford Dixon Bishop Jr.",1947,NA,"Sanford Bishop",2007,2008,60,NA,NA,NA,NA
110,"GA","D","Hank Johnson",1954,NA,"Hank Johnson",2007,2008,53,NA,NA,NA,NA
110,"GA","D","John R. Lewis",1940,NA,"John Lewis",2007,2008,67,NA,NA,NA,NA
110,"GA","D","Jim Marshall",1948,NA,"Jim Marshall",2007,2008,59,NA,NA,NA,NA
110,"GA","D","David Scott",1945,NA,"David Scott",2007,2008,62,NA,NA,NA,NA
110,"GA","R","Paul C. Broun Jr.",1946,NA,"Paul Broun",2007,2008,61,NA,NA,NA,NA
110,"GA","R","Saxby Chambliss",1943,NA,"Saxby Chambliss",2007,2008,64,NA,NA,NA,NA
110,"GA","R","John Nathan Deal",1942,NA,"John Deal",2007,2008,65,NA,NA,NA,NA
110,"GA","R","Phil Gingrey",1942,NA,"Phil Gingrey",2007,2008,65,NA,NA,NA,NA
110,"GA","R","Johnny Isakson",1944,NA,"Johnny Isakson",2007,2008,63,NA,NA,NA,NA
110,"GA","R","Jack Kingston",1955,NA,"Jack Kingston",2007,2008,52,NA,NA,NA,NA
110,"GA","R","John Elmer Linder",1942,NA,"John Linder",2007,2008,65,NA,NA,NA,NA
110,"GA","R","Charles W. Norwood Jr.",1941,2007,"Charles Norwood",2007,2008,66,NA,NA,NA,NA
110,"GA","R","Tom Price",1954,NA,"Tom Price",2007,2008,53,NA,NA,NA,NA
110,"GA","R","Lynn A. Westmoreland",1950,NA,"Lynn Westmoreland",2007,2008,57,NA,NA,NA,NA
110,"HI","D","Neil Abercrombie",1938,NA,"Neil Abercrombie",2007,2008,69,NA,NA,NA,NA
110,"HI","D","Daniel Kahikina Akaka",1924,NA,"Daniel Akaka",2007,2008,83,NA,NA,NA,NA
110,"HI","D","Mazie Hirono",1947,NA,"Mazie Hirono",2007,2008,60,NA,NA,NA,NA
110,"HI","D","Daniel Ken Inouye",1924,2012,"Daniel Inouye",2007,2008,83,NA,NA,NA,NA
110,"IA","D","Leonard L. Boswell",1934,NA,"Leonard Boswell",2007,2008,73,NA,NA,NA,NA
110,"IA","D","Bruce Braley",1957,NA,"Bruce Braley",2007,2008,50,NA,NA,NA,NA
110,"IA","D","Thomas Richard (Tom) Harkin",1939,NA,"Tom Harkin",2007,2008,68,NA,NA,NA,NA
110,"IA","D","Dave Loebsack",1952,NA,"Dave Loebsack",2007,2008,55,NA,NA,NA,NA
110,"IA","R","Charles Ernest Grassley",1933,NA,"Charles Grassley",2007,2008,74,NA,NA,NA,NA
110,"IA","R","Steve King",1949,NA,"Steve King",2007,2008,58,NA,NA,NA,NA
110,"IA","R","Thomas Latham",1948,NA,"Thomas Latham",2007,2008,59,NA,NA,NA,NA
110,"ID","R","Larry Edwin Craig",1945,NA,"Larry Craig",2007,2008,62,NA,NA,NA,NA
110,"ID","R","Michael Dean Crapo",1951,NA,"Michael Crapo",2007,2008,56,NA,NA,NA,NA
110,"ID","R","William Sali",1954,NA,"William Sali",2007,2008,53,NA,NA,NA,NA
110,"ID","R","Michael K. Simpson",1950,NA,"Michael Simpson",2007,2008,57,NA,NA,NA,NA
110,"IL","D","Melissa L. Bean",1962,NA,"Melissa Bean",2007,2008,45,NA,NA,NA,NA
110,"IL","D","Jerry Francis Costello",1949,NA,"Jerry Costello",2007,2008,58,NA,NA,NA,NA
110,"IL","D","Danny K. Davis",1941,NA,"Danny Davis",2007,2008,66,NA,NA,NA,NA
110,"IL","D","Richard Joseph Durbin",1944,NA,"Richard Durbin",2007,2008,63,NA,NA,NA,NA
110,"IL","D","Rahm Emanuel",1959,NA,"Rahm Emanuel",2007,2008,48,"Rahm Emanuel","Appointed to Obama administration","C","NA"
110,"IL","D","Bill Foster",1955,NA,"Bill Foster",2007,2008,52,NA,NA,NA,NA
110,"IL","D","Luis V. Gutiérrez",1953,NA,"Luis Gutiérrez",2007,2008,54,NA,NA,NA,NA
110,"IL","D","Phil Hare",1949,NA,"Phil Hare",2007,2008,58,NA,NA,NA,NA
110,"IL","D","Jesse L. Jackson Jr.",1965,NA,"Jesse Jackson",2007,2008,42,NA,NA,NA,NA
110,"IL","D","Daniel Lipinski",1966,NA,"Daniel Lipinski",2007,2008,41,NA,NA,NA,NA
110,"IL","D","Barack Obama",1961,NA,"Barack Obama",2007,2008,46,"Barack Obama","Elected president","C","NA"
110,"IL","D","Bobby L. Rush",1946,NA,"Bobby Rush",2007,2008,61,NA,NA,NA,NA
110,"IL","D","Janice D. Schakowsky",1944,NA,"Janice Schakowsky",2007,2008,63,NA,NA,NA,NA
110,"IL","R","Judy Borg Biggert",1937,NA,"Judy Biggert",2007,2008,70,NA,NA,NA,NA
110,"IL","R","John Dennis Hastert",1942,NA,"John Hastert",2007,2008,65,"Dennis Hastert","No reason given, but had lost the speaker's gavel","F","NA"
110,"IL","R","Timothy V. Johnson",1946,NA,"Timothy Johnson",2007,2008,61,NA,NA,NA,NA
110,"IL","R","Mark Steven Kirk",1959,NA,"Mark Kirk",2007,2008,48,NA,NA,NA,NA
110,"IL","R","Ray H. Lahood",1945,NA,"Ray Lahood",2007,2008,62,NA,NA,NA,NA
110,"IL","R","Donald A. Manzullo",1944,NA,"Donald Manzullo",2007,2008,63,NA,NA,NA,NA
110,"IL","R","Peter Roskam",1961,NA,"Peter Roskam",2007,2008,46,NA,NA,NA,NA
110,"IL","R","John M. Shimkus",1958,NA,"John Shimkus",2007,2008,49,NA,NA,NA,NA
110,"IL","R","Gerald C. (Jerry) Weller",1957,NA,"Jerry Weller",2007,2008,50,NA,NA,NA,NA
110,"IN","D","Evan Bayh",1955,NA,"Evan Bayh",2007,2008,52,NA,NA,NA,NA
110,"IN","D","André Carson",1974,NA,"André Carson",2007,2008,33,NA,NA,NA,NA
110,"IN","D","Julia May Carson",1938,2007,"Julia Carson",2007,2008,69,NA,NA,NA,NA
110,"IN","D","Joe Donnelly",1955,NA,"Joe Donnelly",2007,2008,52,NA,NA,NA,NA
110,"IN","D","Brad Ellsworth",1958,NA,"Brad Ellsworth",2007,2008,49,NA,NA,NA,NA
110,"IN","D","Baron P. Hill",1953,NA,"Baron Hill",2007,2008,54,NA,NA,NA,NA
110,"IN","D","Peter Visclosky",1949,NA,"Peter Visclosky",2007,2008,58,NA,NA,NA,NA
110,"IN","R","Danny Lee Burton",1938,NA,"Danny Burton",2007,2008,69,NA,NA,NA,NA
110,"IN","R","Stephen Earle Buyer",1958,NA,"Stephen Buyer",2007,2008,49,NA,NA,NA,NA
110,"IN","R","Richard Green Lugar",1932,NA,"Richard Lugar",2007,2008,75,NA,NA,NA,NA
110,"IN","R","Mike Pence",1959,NA,"Mike Pence",2007,2008,48,NA,NA,NA,NA
110,"IN","R","Mark Edward Souder",1950,NA,"Mark Souder",2007,2008,57,NA,NA,NA,NA
110,"KS","D","Nancy Boyda",1955,NA,"Nancy Boyda",2007,2008,52,NA,NA,NA,NA
110,"KS","D","Dennis Moore",1945,NA,"Dennis Moore",2007,2008,62,NA,NA,NA,NA
110,"KS","R","Sam Dale Brownback",1956,NA,"Sam Brownback",2007,2008,51,NA,NA,NA,NA
110,"KS","R","Jerry Moran",1954,NA,"Jerry Moran",2007,2008,53,NA,NA,NA,NA
110,"KS","R","Charles Patrick (Pat) Roberts",1936,NA,"Pat Roberts",2007,2008,71,NA,NA,NA,NA
110,"KS","R","Todd Tiahrt",1951,NA,"Todd Tiahrt",2007,2008,56,NA,NA,NA,NA
110,"KY","D","A. B. (Ben) Chandler",1959,NA,"Ben Chandler",2007,2008,48,NA,NA,NA,NA
110,"KY","D","John Yarmuth",1947,NA,"John Yarmuth",2007,2008,60,NA,NA,NA,NA
110,"KY","R","James Paul David Bunning",1931,NA,"James Bunning",2007,2008,76,NA,NA,NA,NA
110,"KY","R","Geoffrey C. (Geoff) Davis",1958,NA,"Geoff Davis",2007,2008,49,NA,NA,NA,NA
110,"KY","R","Ron Lewis",1946,NA,"Ron Lewis",2007,2008,61,NA,NA,NA,NA
110,"KY","R","Addison Mitchell (Mitch) Mcconnell",1942,NA,"Mitch Mcconnell",2007,2008,65,NA,NA,NA,NA
110,"KY","R","Harold Dallas (Hal) Rogers",1937,NA,"Hal Rogers",2007,2008,70,NA,NA,NA,NA
110,"KY","R","Wayne Edward (Ed) Whitfield",1943,NA,"Ed Whitfield",2007,2008,64,NA,NA,NA,NA
110,"LA","D","Donald J. Jr. Cazayoux",1964,NA,"Donald Cazayoux",2007,2008,43,NA,NA,NA,NA
110,"LA","D","William Jennings Jefferson",1947,NA,"William Jefferson",2007,2008,60,NA,NA,NA,NA
110,"LA","D","Mary L. Landrieu",1955,NA,"Mary Landrieu",2007,2008,52,NA,NA,NA,NA
110,"LA","D","Charles J. Melancon",1947,NA,"Charles Melancon",2007,2008,60,NA,NA,NA,NA
110,"LA","R","Rodney Alexander",1946,NA,"Rodney Alexander",2007,2008,61,NA,NA,NA,NA
110,"LA","R","Richard Hugh Baker",1948,NA,"Richard Baker",2007,2008,59,"Richard Baker","Took a job with the Managed Funds Association","D","NA"
110,"LA","R","Charles W. Boustany",1956,NA,"Charles Boustany",2007,2008,51,NA,NA,NA,NA
110,"LA","R","Bobby Jindal",1971,NA,"Bobby Jindal",2007,2008,36,"Bobby Jindal","Elected Louisiana governor","C","NA"
110,"LA","R","James O. Mccrery Iii",1949,NA,"James Mccrery",2007,2008,58,NA,NA,NA,NA
110,"LA","R","Steve Scalise",1965,NA,"Steve Scalise",2007,2008,42,NA,NA,NA,NA
110,"LA","R","David Vitter",1961,NA,"David Vitter",2007,2008,46,NA,NA,NA,NA
110,"MA","D","Michael Everett Capuano",1952,NA,"Michael Capuano",2007,2008,55,NA,NA,NA,NA
110,"MA","D","Bill Delahunt",1941,NA,"Bill Delahunt",2007,2008,66,NA,NA,NA,NA
110,"MA","D","Barney Frank",1940,NA,"Barney Frank",2007,2008,67,NA,NA,NA,NA
110,"MA","D","Edward Moore (Ted) Kennedy",1932,2009,"Ted Kennedy",2007,2008,75,NA,NA,NA,NA
110,"MA","D","John Forbes Kerry",1943,NA,"John Kerry",2007,2008,64,NA,NA,NA,NA
110,"MA","D","Stephen F. Lynch",1955,NA,"Stephen Lynch",2007,2008,52,NA,NA,NA,NA
110,"MA","D","Edward John Markey",1946,NA,"Edward Markey",2007,2008,61,NA,NA,NA,NA
110,"MA","D","James P. Mcgovern",1959,NA,"James Mcgovern",2007,2008,48,NA,NA,NA,NA
110,"MA","D","Martin Thomas Meehan",1956,NA,"Martin Meehan",2007,2008,51,"Marty Meehan","Took a job with University of Massachusetts","D","NA"
110,"MA","D","Richard Edmund Neal",1949,NA,"Richard Neal",2007,2008,58,NA,NA,NA,NA
110,"MA","D","John Walter Olver",1936,NA,"John Olver",2007,2008,71,NA,NA,NA,NA
110,"MA","D","John F. Tierney",1951,NA,"John Tierney",2007,2008,56,NA,NA,NA,NA
110,"MA","D","Nicola S. (Niki) Tsongas",1946,NA,"Niki Tsongas",2007,2008,61,NA,NA,NA,NA
110,"MD","D","Benjamin Louis Cardin",1943,NA,"Benjamin Cardin",2007,2008,64,NA,NA,NA,NA
110,"MD","D","Elijah Eugene Cummings",1951,NA,"Elijah Cummings",2007,2008,56,NA,NA,NA,NA
110,"MD","D","Donna F. Edwards",1958,NA,"Donna Edwards",2007,2008,49,NA,NA,NA,NA
110,"MD","D","Steny Hamilton Hoyer",1939,NA,"Steny Hoyer",2007,2008,68,NA,NA,NA,NA
110,"MD","D","Barbara Ann Mikulski",1936,NA,"Barbara Mikulski",2007,2008,71,NA,NA,NA,NA
110,"MD","D","C. A. (Dutch) Ruppersberger",1946,NA,"Dutch Ruppersberger",2007,2008,61,NA,NA,NA,NA
110,"MD","D","John Sarbanes",1962,NA,"John Sarbanes",2007,2008,45,NA,NA,NA,NA
110,"MD","D","Christopher Van Hollen",1959,NA,"Christopher Van Hollen",2007,2008,48,NA,NA,NA,NA
110,"MD","D","Albert Russell Wynn",1951,NA,"Albert Wynn",2007,2008,56,"Albert Wynn","Took a job with a law firm after losing primary","D","F"
110,"MD","R","Roscoe Gardner Bartlett",1926,NA,"Roscoe Bartlett",2007,2008,81,NA,NA,NA,NA
110,"MD","R","Wayne Thomas Gilchrest",1946,NA,"Wayne Gilchrest",2007,2008,61,NA,NA,NA,NA
110,"ME","D","Thomas H. Allen",1945,NA,"Thomas Allen",2007,2008,62,NA,NA,NA,NA
110,"ME","D","Michael H. Michaud",1955,NA,"Michael Michaud",2007,2008,52,NA,NA,NA,NA
110,"ME","R","Susan Margaret Collins",1952,NA,"Susan Collins",2007,2008,55,NA,NA,NA,NA
110,"ME","R","Olympia Jean Snowe",1947,NA,"Olympia Snowe",2007,2008,60,NA,NA,NA,NA
110,"MI","D","John Conyers Jr.",1929,NA,"John Conyers",2007,2008,78,NA,NA,NA,NA
110,"MI","D","John David Dingell Jr.",1926,NA,"John Dingell",2007,2008,81,NA,NA,NA,NA
110,"MI","D","Dale Edward Kildee",1929,NA,"Dale Kildee",2007,2008,78,NA,NA,NA,NA
110,"MI","D","Carolyn Cheeks Kilpatrick",1945,NA,"Carolyn Kilpatrick",2007,2008,62,NA,NA,NA,NA
110,"MI","D","Sander Martin Levin",1931,NA,"Sander Levin",2007,2008,76,NA,NA,NA,NA
110,"MI","D","Carl Levin",1934,NA,"Carl Levin",2007,2008,73,NA,NA,NA,NA
